,cust_id,income,Tier_income,age,Age_Group,nbr_children,gender,marital_status,first_name,last_name,state_code,Region,acct_type,account_active,starting_balance,ending_balance,money_spent
455,1362658,45629,Lower Middle,44,40-49,2,F ,3,Brooke                                                      ,Park                                                        ,MI  ,Midwest,CC  ,Y,4414.23,0.0,4414.23
460,1363474,3339,Lowest,20,19-29,0,F ,1,Denise                                                      ,Kemper                                                      ,CA  ,West,CK  ,Y,2681.98,30.89,2651.09
462,1363474,3339,Lowest,20,19-29,0,F ,1,Denise                                                      ,Kemper                                                      ,CA  ,West,SV  ,Y,5095.53,4622.61,472.9200000000001
464,1362597,12106,Lowest,19,19-29,0,M ,1,Hung                                                        ,Lanzante                                                    ,TX  ,South,CK  ,Y,2533.42,416.76,2116.66
465,1362597,12106,Lowest,19,19-29,0,M ,1,Hung                                                        ,Lanzante                                                    ,TX  ,South,CC  ,Y,939.06,442.72,496.3399999999999
472,1363331,31054,Lower Middle,55,50-59,2,M ,2,Eric                                                        ,O'Neil                                                      ,MN  ,Midwest,SV  ,Y,905.15,743.04,162.11
473,1363331,31054,Lower Middle,55,50-59,2,M ,2,Eric                                                        ,O'Neil                                                      ,MN  ,Midwest,CK  ,Y,4246.48,2897.68,1348.7999999999997
474,1363331,31054,Lower Middle,55,50-59,2,M ,2,Eric                                                        ,O'Neil                                                      ,MN  ,Midwest,CC  ,Y,7574.56,2264.61,5309.950000000001
475,1362637,23973,Lowest,45,40-49,0,F ,1,Daisy                                                       ,McSherry                                                    ,HI  ,West,SV  ,Y,347.66,44.79,302.87
476,1362637,23973,Lowest,45,40-49,0,F ,1,Daisy                                                       ,McSherry                                                    ,HI  ,West,CK  ,Y,319.45,72.09,247.35999999999999
479,1363371,3551,Lowest,27,19-29,2,F ,2,Cheryl                                                      ,Bush                                                        ,CA  ,West,CK  ,Y,2788.06,54.5,2733.56
480,1363371,3551,Lowest,27,19-29,2,F ,2,Cheryl                                                      ,Bush                                                        ,CA  ,West,SV  ,Y,726.33,87.77,638.5600000000001
481,1363453,12728,Lowest,35,30-39,0,M ,1,John                                                        ,Putnam                                                      ,FL  ,South,CK  ,Y,216.97,0.0,216.97
482,1362963,4508,Lowest,69,60-69,0,F ,1,Teri                                                        ,Chan                                                        ,NC  ,South,CK  ,Y,325.98,127.65,198.33
484,1362902,18760,Lowest,48,40-49,0,F ,1,Nina                                                        ,Denham                                                      ,NY  ,Northeast,CK  ,Y,117.73,112.94,4.790000000000006
486,1363228,36237,Lower Middle,41,40-49,0,M ,1,Doug                                                        ,Huub                                                        ,MA  ,Northeast,CK  ,Y,355.61,206.69,148.92000000000002
488,1362698,49623,Lower Middle,55,50-59,1,F ,4,Alice                                                       ,Grolemund                                                   ,TX  ,South,CK  ,Y,6322.89,175.55,6147.34
491,1362820,129196,Highest,55,50-59,2,M ,3,Yoshio                                                      ,Eggerman                                                    ,IL  ,Midwest,CK  ,Y,27072.38,13185.47,13886.910000000002
494,1363167,39703,Lower Middle,38,30-39,0,F ,1,Victoria                                                    ,Newell                                                      ,NJ  ,Northeast,CK  ,Y,5488.09,68.61,5419.4800000000005
496,1362759,27258,Lower Middle,69,60-69,0,F ,2,Oliver                                                      ,Song                                                        ,CA  ,West,CK  ,Y,433.27,4.62,428.65
497,1362759,27258,Lower Middle,69,60-69,0,F ,2,Oliver                                                      ,Song                                                        ,CA  ,West,CC  ,Y,1320.06,835.19,484.8699999999999
498,1362759,27258,Lower Middle,69,60-69,0,F ,2,Oliver                                                      ,Song                                                        ,CA  ,West,SV  ,Y,214.89,79.52,135.37
501,1362555,26598,Lower Middle,57,50-59,0,M ,2,Matt                                                        ,Bailey                                                      ,CA  ,West,SV  ,Y,411.52,260.59,150.93
503,1363493,30068,Lower Middle,69,60-69,0,M ,2,Randy                                                       ,Reynolds                                                    ,TX  ,South,CK  ,Y,6123.84,2053.9,4069.94
508,1362881,12690,Lowest,55,50-59,0,M ,2,Bob                                                         ,Shaw                                                        ,AZ  ,West,CC  ,Y,490.96,440.26,50.69999999999999
509,1362881,12690,Lowest,55,50-59,0,M ,2,Bob                                                         ,Shaw                                                        ,AZ  ,West,SV  ,Y,302.02,61.5,240.51999999999998
510,1363268,35508,Lower Middle,56,50-59,1,F ,2,Blanche                                                     ,Carpenter                                                   ,TX  ,South,SV  ,Y,498.64,180.08,318.55999999999995
512,1363268,35508,Lower Middle,56,50-59,1,F ,2,Blanche                                                     ,Carpenter                                                   ,TX  ,South,CC  ,Y,1873.47,1800.0,73.47000000000003
513,1363146,8381,Lowest,44,40-49,0,F ,2,Dilpreet                                                    ,Gavin                                                       ,NJ  ,Northeast,CC  ,Y,2782.38,0.0,2782.38
514,1362656,17584,Lowest,64,60-69,0,M ,4,Lee                                                         ,O'Malley                                                    ,TX  ,South,CC  ,Y,893.25,445.22,448.03
516,1363207,10919,Lowest,73,70-79,0,M ,2,Art                                                         ,Garrison                                                    ,IL  ,Midwest,CC  ,Y,886.67,777.0,109.66999999999996
517,1363390,12973,Lowest,50,50-59,2,M ,2,B.Q.                                                        ,Insko                                                       ,NY  ,Northeast,CK  ,Y,2716.75,446.35,2270.4
522,1362513,28058,Lower Middle,32,30-39,2,F ,4,Rebecca                                                     ,Campbell                                                    ,NY  ,Northeast,SV  ,Y,389.39,352.05,37.339999999999975
523,1362595,29241,Lower Middle,58,50-59,2,F ,2,Angie                                                       ,Lanzante                                                    ,TX  ,South,CK  ,Y,4087.37,117.93,3969.44
530,1362839,43315,Lower Middle,33,30-39,3,M ,3,Abkar                                                       ,Melber                                                      ,MD  ,South,SV  ,Y,4386.32,3420.03,966.2899999999995
531,1362839,43315,Lower Middle,33,30-39,3,M ,3,Abkar                                                       ,Melber                                                      ,MD  ,South,CK  ,Y,8885.44,32.8,8852.640000000001
533,1362921,19987,Lowest,45,40-49,2,F ,3,Nora                                                        ,Besa                                                        ,KS  ,Midwest,CK  ,Y,266.04,0.0,266.04
534,1362921,19987,Lowest,45,40-49,2,F ,3,Nora                                                        ,Besa                                                        ,KS  ,Midwest,CC  ,Y,2273.2,81.68,2191.52
535,1362492,40252,Lower Middle,40,40-49,5,F ,3,Maggie                                                      ,McMillen                                                    ,TX  ,South,CK  ,Y,5101.6,582.82,4518.780000000001
548,1363043,20840,Lowest,42,40-49,1,M ,2,Thomas                                                      ,O'Connell                                                   ,DC  ,South,CK  ,Y,4418.22,701.33,3716.8900000000003
551,1362675,10608,Lowest,63,60-69,0,F ,2,Patricia                                                    ,Meis                                                        ,MN  ,Midwest,CK  ,Y,2793.52,2009.72,783.8
560,1363165,15301,Lowest,69,60-69,0,M ,2,Curtis                                                      ,Ross                                                        ,MO  ,Midwest,SV  ,Y,273.67,57.08,216.59000000000003
561,1363165,15301,Lowest,69,60-69,0,M ,2,Curtis                                                      ,Ross                                                        ,MO  ,Midwest,CK  ,Y,2244.1,95.8,2148.2999999999997
562,1363409,9379,Lowest,69,60-69,0,F ,2,Marsha                                                      ,Greene                                                      ,NY  ,Northeast,CC  ,Y,977.54,160.42,817.12
566,1362797,17912,Lowest,32,30-39,3,F ,2,Minh                                                        ,McCreary                                                    ,WA  ,West,CC  ,Y,111.07,100.0,11.069999999999993
568,1363266,20889,Lowest,23,19-29,0,F ,3,Georgia                                                     ,Owings                                                      ,CA  ,West,CK  ,Y,2820.64,1.98,2818.66
571,1362858,60242,Middle,41,40-49,4,F ,2,Patricia                                                    ,Pieper                                                      ,CA  ,West,CK  ,Y,778.24,587.99,190.25
573,1362858,60242,Middle,41,40-49,4,F ,2,Patricia                                                    ,Pieper                                                      ,CA  ,West,SV  ,Y,1561.41,592.84,968.57
579,1363123,56384,Middle,35,30-39,2,M ,4,Kevin                                                       ,Grimmer                                                     ,IL  ,Midwest,CK  ,Y,7610.01,696.74,6913.27
581,1362736,20358,Lowest,42,40-49,0,F ,1,Jeanne                                                      ,Hills                                                       ,DC  ,South,CK  ,Y,2783.01,2014.49,768.5200000000002
582,1362736,20358,Lowest,42,40-49,0,F ,1,Jeanne                                                      ,Hills                                                       ,DC  ,South,CC  ,Y,862.8,328.79,534.01
588,1362511,2517,Lowest,83,80-89,0,M ,1,Alan                                                        ,Shoemaker                                                   ,NY  ,Northeast,CK  ,Y,189.23,11.84,177.39
591,1363470,18390,Lowest,38,30-39,2,F ,2,Bridget                                                     ,Moxim                                                       ,FL  ,South,CK  ,Y,4068.99,1790.37,2278.62
593,1362980,8201,Lowest,18,10-18,0,M ,1,Benny                                                       ,Sandell                                                     ,IL  ,Midwest,CK  ,Y,2778.92,118.27,2660.65
596,1362593,11725,Lowest,30,30-39,0,M ,1,Fred                                                        ,Hoff                                                        ,NY  ,Northeast,CK  ,Y,4116.15,168.63,3947.5199999999995
599,1363449,30265,Lower Middle,34,30-39,0,F ,1,Farrah                                                      ,Fischer                                                     ,CA  ,West,CC  ,Y,991.87,636.53,355.34000000000003
602,1363327,12310,Lowest,40,40-49,0,F ,1,Glynda                                                      ,Doherty                                                     ,CA  ,West,CK  ,Y,2609.01,235.65,2373.36
603,1362837,22322,Lowest,50,50-59,0,M ,2,Michael                                                     ,Harrington                                                  ,AZ  ,West,CK  ,Y,2798.78,530.92,2267.86
607,1363306,15576,Lowest,46,40-49,0,F ,1,Pam                                                         ,Matthews                                                    ,CA  ,West,CK  ,Y,234.76,114.94,119.82
610,1362715,17750,Lowest,56,50-59,1,F ,2,Teri                                                        ,Reidy                                                       ,NY  ,Northeast,CK  ,Y,2691.06,366.99,2324.0699999999997
614,1363184,19840,Lowest,50,50-59,2,F ,4,Rosalynn                                                    ,Marxen                                                      ,OH  ,Midwest,CK  ,Y,323.7,74.87,248.82999999999998
616,1362694,29838,Lower Middle,36,30-39,2,F ,2,Mildred                                                     ,Murnane                                                     ,GA  ,South,CK  ,Y,3993.34,93.66,3899.6800000000003
618,1362776,27269,Lower Middle,68,60-69,0,M ,2,Brian                                                       ,Nolan                                                       ,TN  ,South,CK  ,Y,2732.3,31.28,2701.02
627,1362633,10818,Lowest,28,19-29,2,F ,2,Nikki                                                       ,Dickey                                                      ,NY  ,Northeast,SV  ,Y,123.78,57.34,66.44
629,1362898,12449,Lowest,32,30-39,2,M ,2,Frank                                                       ,Tragarz                                                     ,IL  ,Midwest,CK  ,Y,356.91,219.21,137.70000000000002
630,1362816,11918,Lowest,19,19-29,0,F ,1,Daisy                                                       ,Hayes                                                       ,KY  ,South,CK  ,Y,4173.06,19.72,4153.34
635,1363142,40671,Lower Middle,30,30-39,2,M ,3,Krista                                                      ,Harrington                                                  ,IL  ,Midwest,CK  ,Y,571.75,11.3,560.45
641,1362530,39250,Lower Middle,57,50-59,0,F ,1,Jackie                                                      ,Wyman                                                       ,NY  ,Northeast,CK  ,Y,5316.47,17.3,5299.17
644,1363346,35237,Lower Middle,55,50-59,1,M ,2,Joshua                                                      ,Sandham                                                     ,AZ  ,West,CK  ,Y,4428.89,1290.34,3138.55
646,1362999,29403,Lower Middle,36,30-39,2,M ,4,Daniel                                                      ,Hines                                                       ,CA  ,West,CK  ,Y,4089.6,3.96,4085.64
647,1362999,29403,Lower Middle,36,30-39,2,M ,4,Daniel                                                      ,Hines                                                       ,CA  ,West,CC  ,Y,1973.27,988.54,984.73
657,1363203,82612,Upper Middle,56,50-59,1,M ,2,Dennis                                                      ,Mealhouse                                                   ,IL  ,Midwest,CK  ,Y,1033.81,997.7,36.1099999999999
660,1362591,26936,Lower Middle,64,60-69,0,F ,1,Kathy                                                       ,Augustine                                                   ,OH  ,Midwest,CK  ,Y,3390.49,920.44,2470.0499999999997
662,1362713,31297,Lower Middle,40,40-49,0,M ,2,James                                                       ,Henry                                                       ,IN  ,Midwest,CK  ,Y,389.87,22.21,367.66
664,1363060,48479,Lower Middle,46,40-49,5,M ,2,Donald                                                      ,Gold                                                        ,NY  ,Northeast,CK  ,Y,6770.7,370.85,6399.849999999999
667,1362509,3093,Lowest,82,80-89,0,M ,2,Gilbert                                                     ,Larson                                                      ,IN  ,Midwest,CK  ,Y,182.38,10.7,171.68
670,1362652,20745,Lowest,46,40-49,2,M ,2,Jeffrey                                                     ,Olszewski                                                   ,TX  ,South,CK  ,Y,315.75,26.93,288.82
671,1362978,33060,Lower Middle,41,40-49,0,M ,1,Jorge                                                       ,Lawrence                                                    ,CA  ,West,CK  ,Y,7035.43,278.86,6756.570000000001
672,1362978,33060,Lower Middle,41,40-49,0,M ,1,Jorge                                                       ,Lawrence                                                    ,CA  ,West,CC  ,Y,2834.53,2103.69,730.8400000000001
673,1362978,33060,Lower Middle,41,40-49,0,M ,1,Jorge                                                       ,Lawrence                                                    ,CA  ,West,SV  ,Y,238.16,28.91,209.25
675,1362917,45464,Lower Middle,57,50-59,0,F ,2,Paula                                                       ,Lee                                                         ,IN  ,Midwest,CK  ,Y,447.68,45.45,402.23
678,1363447,17052,Lowest,41,40-49,0,F ,1,Patti                                                       ,Hines                                                       ,NY  ,Northeast,CK  ,Y,2560.04,346.08,2213.96
682,1363182,101177,Highest,50,50-59,0,F ,2,Teresa                                                      ,Madden                                                      ,CA  ,West,SV  ,Y,3136.49,753.69,2382.7999999999997
684,1362835,9099,Lowest,28,19-29,0,M ,1,Charles                                                     ,Jones                                                       ,AL  ,South,CC  ,Y,167.92,9.51,158.41
686,1363243,16579,Lowest,35,30-39,2,M ,2,Bob                                                         ,Gavin                                                       ,TN  ,South,CC  ,Y,1025.87,110.03,915.8399999999999
688,1363243,16579,Lowest,35,30-39,2,M ,2,Bob                                                         ,Gavin                                                       ,TN  ,South,CK  ,Y,2746.0,852.22,1893.78
689,1363304,14780,Lowest,88,80-89,0,F ,4,Mayreen                                                     ,Toms                                                        ,CA  ,West,CK  ,Y,269.41,50.91,218.50000000000003
692,1362631,34394,Lower Middle,54,50-59,0,F ,2,Malisa                                                      ,MacMullen                                                   ,TX  ,South,CK  ,Y,4478.55,0.0,4478.55
693,1362631,34394,Lower Middle,54,50-59,0,F ,2,Malisa                                                      ,MacMullen                                                   ,TX  ,South,CC  ,Y,759.86,575.0,184.86
695,1363161,12560,Lowest,31,30-39,2,F ,2,Paulina                                                     ,Butler                                                      ,CO  ,West,CK  ,Y,2655.35,39.09,2616.2599999999998
696,1363100,12599,Lowest,37,30-39,0,M ,1,Ed                                                          ,Harris                                                      ,MA  ,Northeast,CK  ,Y,2554.44,39.16,2515.28
697,1363426,37186,Lower Middle,36,30-39,0,M ,1,Carl                                                        ,Kapple                                                      ,NM  ,West,CK  ,Y,4898.05,3567.46,1330.5900000000001
698,1363426,37186,Lower Middle,36,30-39,0,M ,1,Carl                                                        ,Kapple                                                      ,NM  ,West,CC  ,Y,1808.4,917.28,891.1200000000001
702,1363365,41261,Lower Middle,34,30-39,3,M ,2,Jeremy                                                      ,Shaw                                                        ,NY  ,Northeast,CK  ,Y,5578.71,901.25,4677.46
706,1363018,46884,Lower Middle,36,30-39,2,M ,2,Ngar-Cheung                                                 ,Sakai                                                       ,AZ  ,West,SV  ,Y,11793.93,9387.66,2406.2700000000004
707,1362488,7083,Lowest,77,70-79,0,F ,2,Stephanie                                                   ,Moussavi                                                    ,CA  ,West,CK  ,Y,4234.94,122.42,4112.5199999999995
710,1362753,13352,Lowest,48,40-49,0,F ,1,Teresa                                                      ,Metheny                                                     ,OH  ,Midwest,CK  ,Y,193.01,79.24,113.77
712,1363283,22995,Lowest,21,19-29,0,F ,1,Kathy                                                       ,Lewis                                                       ,NY  ,Northeast,SV  ,Y,166.05,2.74,163.31
713,1363283,22995,Lowest,21,19-29,0,F ,1,Kathy                                                       ,Lewis                                                       ,NY  ,Northeast,CK  ,Y,121.77,18.54,103.22999999999999
722,1362671,22783,Lowest,25,19-29,0,F ,1,Jeana                                                       ,Zrahia                                                      ,LA  ,South,SV  ,Y,153.64,83.19,70.44999999999999
723,1362610,9602,Lowest,79,70-79,0,M ,2,Douglas                                                     ,Rayhanian                                                   ,HI  ,West,CC  ,Y,720.85,545.57,175.27999999999997
725,1363140,20684,Lowest,44,40-49,0,M ,1,Khai                                                        ,Parker                                                      ,CA  ,West,CK  ,Y,237.14,0.0,237.14
728,1362528,6618,Lowest,39,30-39,0,F ,1,Juan                                                        ,Kirchmer                                                    ,KY  ,South,CK  ,Y,2533.32,1087.54,1445.7800000000002
729,1362528,6618,Lowest,39,30-39,0,F ,1,Juan                                                        ,Kirchmer                                                    ,KY  ,South,CC  ,Y,575.35,540.09,35.25999999999999
731,1363344,13124,Lowest,66,60-69,0,F ,2,Gail                                                        ,Pike                                                        ,AZ  ,West,CK  ,Y,159.01,68.95,90.05999999999999
737,1362936,8575,Lowest,52,50-59,1,F ,2,Pat                                                         ,Fitzgerald                                                  ,TX  ,South,CK  ,Y,173.72,109.31,64.41
743,1363201,8038,Lowest,80,80-89,0,F ,2,Rita                                                        ,Ferguson                                                    ,CA  ,West,CK  ,Y,1194.44,777.16,417.2800000000001
745,1363201,8038,Lowest,80,80-89,0,F ,2,Rita                                                        ,Ferguson                                                    ,CA  ,West,SV  ,Y,100.24,74.54,25.69999999999999
747,1362793,29120,Lower Middle,36,30-39,2,M ,3,Ken                                                         ,Alexander                                                   ,CA  ,West,CC  ,Y,714.43,407.08,307.34999999999997
748,1362793,29120,Lower Middle,36,30-39,2,M ,3,Ken                                                         ,Alexander                                                   ,CA  ,West,SV  ,Y,966.32,404.56,561.76
750,1363323,57882,Middle,39,30-39,0,F ,1,Joyce                                                       ,Yahya                                                       ,PA  ,Northeast,CK  ,Y,12005.31,1083.14,10922.17
751,1363323,57882,Middle,39,30-39,0,F ,1,Joyce                                                       ,Yahya                                                       ,PA  ,Northeast,CC  ,Y,7159.74,1953.27,5206.469999999999
755,1362711,12994,Lowest,26,19-29,1,F ,4,Christi                                                     ,Subbanna                                                    ,CA  ,West,SV  ,Y,223.6,38.87,184.73
756,1363058,6355,Lowest,77,70-79,0,M ,2,Karmen                                                      ,Williamson                                                  ,NY  ,Northeast,CK  ,Y,2744.91,121.27,2623.64
759,1362650,17804,Lowest,21,19-29,1,M ,2,Nick                                                        ,Garrison                                                    ,NY  ,Northeast,SV  ,Y,155.66,149.2,6.460000000000008
760,1362976,20179,Lowest,49,40-49,1,F ,2,Terry                                                       ,Mevawalla                                                   ,NB  ,Midwest,SV  ,Y,203.2,137.99,65.20999999999998
761,1363384,54647,Middle,48,40-49,0,M ,1,Alex                                                        ,Rarey                                                       ,TX  ,South,CK  ,Y,7388.44,12.8,7375.639999999999
762,1363384,54647,Middle,48,40-49,0,M ,1,Alex                                                        ,Rarey                                                       ,TX  ,South,CC  ,Y,6541.09,2231.29,4309.8
764,1363445,5918,Lowest,29,19-29,1,M ,2,Sid                                                         ,McLaughlin                                                  ,CA  ,West,SV  ,Y,742.28,552.01,190.26999999999998
769,1362772,12456,Lowest,31,30-39,2,M ,2,Matthew                                                     ,Khanijow                                                    ,IL  ,Midwest,CK  ,Y,4135.59,18.3,4117.29
770,1363037,8257,Lowest,29,19-29,0,F ,2,Margarita                                                   ,Niedelman                                                   ,PA  ,Northeast,CK  ,Y,2581.35,182.95,2398.4
774,1363241,30217,Lower Middle,46,40-49,0,F ,1,Carole                                                      ,Schissler                                                   ,TX  ,South,CK  ,Y,478.79,18.37,460.42
776,1363302,50704,Middle,55,50-59,1,M ,2,Danny                                                       ,Potter                                                      ,CA  ,West,CK  ,Y,5499.36,4023.58,1475.7799999999997
778,1363098,21909,Lowest,51,50-59,1,M ,2,James                                                       ,Justice                                                     ,HI  ,West,CK  ,Y,2874.57,17.71,2856.86
780,1362894,59542,Middle,57,50-59,0,M ,1,Lee                                                         ,Kirchmer                                                    ,NY  ,Northeast,SV  ,Y,2013.26,360.28,1652.98
781,1362486,10701,Lowest,76,70-79,0,F ,3,Kyle                                                        ,McVicker                                                    ,TX  ,South,CK  ,Y,4252.39,3312.27,940.1200000000003
782,1362486,10701,Lowest,76,70-79,0,F ,3,Kyle                                                        ,McVicker                                                    ,TX  ,South,SV  ,Y,284.48,116.24,168.24
783,1362690,24131,Lowest,47,40-49,1,F ,2,Rebecca                                                     ,Marek                                                       ,NV  ,West,CK  ,Y,3313.6,282.92,3030.68
787,1363159,11029,Lowest,46,40-49,0,M ,1,Anthony                                                     ,Schnack                                                     ,NM  ,West,CK  ,Y,346.65,35.8,310.84999999999997
794,1363485,19863,Lowest,48,40-49,0,F ,1,Anne                                                        ,Dunn                                                        ,WA  ,West,CC  ,Y,4161.24,1000.0,3161.24
796,1363403,37364,Lower Middle,52,50-59,1,F ,4,Heidi                                                       ,Matthews                                                    ,OH  ,Midwest,CK  ,Y,4787.32,366.58,4420.74
799,1363342,32700,Lower Middle,53,50-59,1,F ,4,Bridget                                                     ,Shin                                                        ,TX  ,South,CK  ,Y,224.6,14.45,210.15
801,1363342,32700,Lower Middle,53,50-59,1,F ,4,Bridget                                                     ,Shin                                                        ,TX  ,South,SV  ,Y,280.35,57.96,222.39000000000001
802,1362526,43872,Lower Middle,41,40-49,0,F ,2,Jessica                                                     ,Flynn                                                       ,CA  ,West,CK  ,Y,2885.72,140.01,2745.71
803,1362526,43872,Lower Middle,41,40-49,0,F ,2,Jessica                                                     ,Flynn                                                       ,CA  ,West,CC  ,Y,4400.06,1982.36,2417.7000000000007
805,1363138,13137,Lowest,72,70-79,0,F ,2,Phoebe                                                      ,Sales                                                       ,TX  ,South,CK  ,Y,103.39,15.52,87.87
809,1362791,7914,Lowest,81,80-89,0,F ,2,Marilyn                                                     ,Parent                                                      ,NY  ,Northeast,CK  ,Y,2671.0,874.16,1796.8400000000001
810,1362791,7914,Lowest,81,80-89,0,F ,2,Marilyn                                                     ,Parent                                                      ,NY  ,Northeast,CC  ,Y,3115.73,157.42,2958.31
817,1363117,38736,Lower Middle,48,40-49,5,M ,4,Hans                                                        ,Park                                                        ,FL  ,South,CC  ,Y,1568.22,1112.8,455.4200000000001
819,1363117,38736,Lower Middle,48,40-49,5,M ,4,Hans                                                        ,Park                                                        ,FL  ,South,CK  ,Y,451.14,0.0,451.14
823,1363382,13497,Lowest,61,60-69,0,F ,2,Barbara                                                     ,Schnack                                                     ,CO  ,West,CK  ,Y,2694.39,1544.52,1149.87
827,1362587,8799,Lowest,27,19-29,0,F ,2,Li-Yauw                                                     ,Rice                                                        ,OK  ,South,CK  ,Y,2520.63,292.0,2228.63
828,1362587,8799,Lowest,27,19-29,0,F ,2,Li-Yauw                                                     ,Rice                                                        ,OK  ,South,CC  ,Y,879.47,859.44,20.029999999999973
829,1362505,7735,Lowest,53,50-59,1,F ,2,Melissa                                                     ,Troester                                                    ,CA  ,West,CK  ,Y,125.36,11.7,113.66
834,1362974,12436,Lowest,29,19-29,0,M ,1,Rob                                                         ,Greenberg                                                   ,CA  ,West,CC  ,Y,802.2,271.87,530.33
836,1363321,33113,Lower Middle,55,50-59,0,M ,2,Jeff                                                        ,Herreweyers                                                 ,IN  ,Midwest,CC  ,Y,2076.51,1133.39,943.1200000000001
838,1362770,76891,Upper Middle,42,40-49,0,F ,1,Daniel                                                      ,Bush                                                        ,PA  ,Northeast,CK  ,Y,407.29,237.69,169.60000000000002
842,1362709,5981,Lowest,74,70-79,0,F ,2,Colleen                                                     ,Malcom                                                      ,CA  ,West,CK  ,Y,2254.04,185.9,2068.14
845,1363178,31220,Lower Middle,34,30-39,0,M ,1,Marty                                                       ,Swanson                                                     ,NC  ,South,CK  ,Y,383.35,48.73,334.62
846,1363096,12072,Lowest,67,60-69,0,M ,2,Bill                                                        ,Brownell                                                    ,NY  ,Northeast,CC  ,Y,388.35,0.0,388.35
849,1363361,26008,Lower Middle,34,30-39,2,F ,4,Marilyn                                                     ,Griggs                                                      ,OR  ,West,CC  ,Y,849.37,462.28,387.09000000000003
855,1362484,10053,Lowest,42,40-49,0,F ,1,Lana                                                        ,Gilmore                                                     ,CO  ,West,CK  ,Y,2613.46,95.32,2518.14
856,1362484,10053,Lowest,42,40-49,0,F ,1,Lana                                                        ,Gilmore                                                     ,CO  ,West,CC  ,Y,1278.78,369.72,909.06
861,1363157,72194,Middle,32,30-39,0,M ,1,Felipe                                                      ,Qiu                                                         ,TX  ,South,CK  ,Y,9749.29,117.49,9631.800000000001
862,1363218,21646,Lowest,49,40-49,0,F ,1,Cheryl                                                      ,Hildreth                                                    ,CA  ,West,CK  ,Y,2812.42,380.37,2432.05
864,1362749,17412,Lowest,33,30-39,2,F ,3,Kate                                                        ,Holmes                                                      ,TN  ,South,CK  ,Y,2608.15,918.17,1689.98
875,1362932,18387,Lowest,18,10-18,0,M ,1,Rolf                                                        ,Shen                                                        ,CA  ,West,SV  ,Y,744.52,523.84,220.67999999999995
876,1362606,36586,Lower Middle,51,50-59,0,F ,1,Clara                                                       ,Russell                                                     ,AZ  ,West,CK  ,Y,5103.77,1319.97,3783.8
884,1363197,19088,Lowest,52,50-59,2,F ,2,Carolyn                                                     ,Maloney                                                     ,CA  ,West,CK  ,Y,2696.67,158.09,2538.58
889,1363462,9495,Lowest,25,19-29,2,F ,3,Judith                                                      ,Barnard                                                     ,MD  ,South,CK  ,Y,2504.19,2421.03,83.15999999999985
892,1362503,5787,Lowest,18,10-18,0,M ,1,Cary                                                        ,Carrington                                                  ,CA  ,West,CK  ,Y,2176.17,535.61,1640.56
893,1362585,28093,Lower Middle,69,60-69,0,M ,2,Les                                                         ,Cole                                                        ,IL  ,Midwest,CK  ,Y,381.4,176.63,204.76999999999998
894,1362972,59047,Middle,55,50-59,0,M ,1,Gene                                                        ,Reissman                                                    ,TX  ,South,CC  ,Y,1837.24,711.32,1125.92
896,1363054,9738,Lowest,56,50-59,1,F ,2,Nora                                                        ,Clark                                                       ,WI  ,Midwest,CK  ,Y,2738.75,50.67,2688.08
899,1363441,7169,Lowest,39,30-39,0,F ,1,Colleen                                                     ,McCoy                                                       ,AZ  ,West,CC  ,Y,854.16,32.33,821.8299999999999
901,1362850,8961,Lowest,86,80-89,0,M ,4,Tim                                                         ,Walsh                                                       ,NV  ,West,CK  ,Y,2682.82,1179.4,1503.42
902,1362850,8961,Lowest,86,80-89,0,M ,4,Tim                                                         ,Walsh                                                       ,NV  ,West,CC  ,Y,245.09,37.88,207.21
906,1363237,57224,Middle,35,30-39,2,M ,2,Joe                                                         ,Lew                                                         ,TX  ,South,CK  ,Y,7563.81,135.39,7428.42
907,1362911,43737,Lower Middle,66,60-69,0,M ,2,Norman                                                      ,Marsicano                                                   ,CA  ,West,CK  ,Y,225.66,43.24,182.42
912,1363176,2772,Lowest,22,19-29,1,F ,4,Neil                                                        ,Adamson                                                     ,NJ  ,Northeast,SV  ,Y,175.29,128.07,47.22
917,1362686,19019,Lowest,70,70-79,0,F ,4,Jenny                                                       ,McCarthy                                                    ,PA  ,Northeast,CK  ,Y,337.72,13.37,324.35
921,1362625,30165,Lower Middle,37,30-39,3,M ,2,Matthew                                                     ,Hemphill                                                    ,FL  ,South,CC  ,Y,3191.36,735.29,2456.07
924,1363420,22369,Lowest,32,30-39,0,F ,1,Catherine                                                   ,Kaufman                                                     ,MI  ,Midwest,CK  ,Y,2825.63,278.98,2546.65
926,1363216,13241,Lowest,18,10-18,0,F ,1,Carolyn                                                     ,Lau                                                         ,NY  ,Northeast,SV  ,Y,136.52,105.54,30.980000000000004
927,1363216,13241,Lowest,18,10-18,0,F ,1,Carolyn                                                     ,Lau                                                         ,NY  ,Northeast,CK  ,Y,2272.32,1015.46,1256.8600000000001
931,1363012,77893,Upper Middle,35,30-39,0,M ,1,Scott                                                       ,Gins                                                        ,NY  ,Northeast,CK  ,Y,1115.62,5.59,1110.03
934,1363481,7642,Lowest,66,60-69,0,F ,2,Beverly                                                     ,Sze                                                         ,CO  ,West,CK  ,Y,202.56,25.94,176.62
938,1363134,19645,Lowest,39,30-39,2,M ,2,Biju                                                        ,Hedegard                                                    ,CA  ,West,CK  ,Y,163.08,0.0,163.08
